YEAR,DATE,AGUASCALIENTES,BAJA_CALIFORNIA,BAJA_CALIFORNIA_SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,COAHUILA,COLIMA,DISTRITO_FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO_LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA_ROO,SAN_LUIS_POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2013,5/1/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,12/1/2013,0,0,0,0,1,0,0,4,0,0,0,3,0,2,0,4,1,0,0,1,0,0,1,5,0,0,0,1,0,1,14,0
2013,19/01/2013,0,0,0,1,15,0,0,13,0,0,0,38,0,8,0,22,1,0,0,1,0,0,3,5,3,1,8,9,0,23,15,0
2013,26/01/2013,0,0,0,4,1,0,0,32,0,0,0,51,0,7,4,41,0,0,13,15,0,0,31,8,11,1,16,3,0,20,13,0
2013,2/2/2013,0,0,18,0,12,0,0,20,0,0,0,35,0,14,0,28,0,0,41,3,0,0,15,7,0,4,16,5,0,4,8,0
2013,9/2/2013,0,0,1,0,1,0,0,11,0,0,0,44,1,5,0,37,3,0,24,17,18,0,7,11,0,1,13,6,0,21,13,0
2013,16/02/2013,0,0,7,0,8,0,0,22,0,0,0,39,0,5,1,27,0,0,12,11,19,0,19,13,21,1,21,2,0,28,6,0
2013,23/02/2013,0,0,0,0,12,0,1,11,0,0,0,33,1,8,0,37,0,0,16,10,10,0,20,8,5,5,17,9,0,19,17,0
2013,2/3/2013,0,0,7,13,20,0,0,26,0,0,0,51,1,12,0,57,4,0,39,33,16,0,23,21,1,1,52,14,0,34,23,0
2013,9/3/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,16/03/2013,0,0,1,0,15,0,0,26,0,0,0,25,0,14,3,30,0,0,20,9,9,0,38,5,8,0,36,5,0,22,10,0
2013,23/03/2013,0,0,1,6,7,0,0,8,0,0,0,38,1,12,1,12,0,0,17,10,4,0,21,7,0,2,31,5,0,17,14,0
2013,30/03/2013,0,0,3,0,6,0,1,6,0,0,0,10,1,5,0,29,0,0,7,1,14,0,13,5,6,0,13,6,0,5,4,0
2013,6/4/2013,0,0,3,6,9,0,0,7,0,0,0,22,0,5,0,22,0,0,29,14,14,0,14,12,2,3,57,2,0,17,9,0
2013,13/04/2013,0,0,2,10,7,0,0,9,0,0,0,8,1,8,0,11,0,0,15,6,8,0,10,9,3,0,96,12,0,17,5,0
2013,20/04/2013,0,0,1,0,7,0,0,14,0,0,0,10,0,5,0,5,1,1,53,6,4,0,11,4,0,0,75,2,0,19,6,0
2013,27/04/2013,0,0,1,0,6,0,0,14,0,1,0,8,0,10,0,9,0,11,50,18,8,0,18,12,3,3,65,3,0,15,3,0
2013,4/5/2013,0,0,1,4,29,0,0,16,0,0,0,23,3,11,0,7,0,7,12,5,15,0,12,11,0,0,58,5,0,19,7,0
2013,11/5/2013,0,0,0,7,9,0,0,16,0,0,0,17,0,14,0,12,1,13,22,8,5,0,11,7,2,0,73,10,0,11,11,0
2013,18/05/2013,0,0,0,0,19,0,1,14,0,0,0,18,4,11,0,7,1,21,43,8,13,0,17,7,3,1,145,2,0,36,9,0
2013,25/05/2013,0,0,1,10,16,0,0,16,0,0,0,13,0,9,0,16,3,28,29,4,6,0,16,11,11,2,166,10,0,37,14,0
2013,1/6/2013,0,0,0,0,26,0,0,16,0,0,0,29,4,11,0,19,5,20,35,16,20,0,21,2,6,0,183,11,0,25,18,0
2013,8/6/2013,0,0,0,19,23,0,0,24,0,0,0,16,3,17,0,15,24,1,31,6,0,0,23,7,0,0,117,35,0,33,8,0
2013,15/06/2013,0,0,0,5,33,0,2,16,0,0,0,21,0,13,0,19,37,0,46,13,21,0,16,6,7,0,99,58,0,40,18,0
2013,22/06/2013,0,0,0,13,80,0,0,25,0,0,0,16,10,31,0,19,59,7,35,25,48,0,9,4,1,0,220,132,0,51,17,0
2013,29/06/2013,0,0,1,4,32,0,2,32,0,0,0,34,21,36,0,33,53,0,44,2,24,0,44,10,0,0,85,148,0,45,27,0
2013,6/7/2013,0,0,1,33,23,0,0,24,0,0,0,30,7,69,0,5,78,0,37,63,29,0,28,11,10,0,107,242,0,69,34,0
2013,13/07/2013,0,0,1,0,24,0,0,16,0,0,0,24,11,28,0,21,58,3,47,14,94,0,26,20,18,0,297,267,0,78,14,0
2013,20/07/2013,0,0,4,8,36,0,0,15,0,0,0,32,17,33,0,19,99,6,43,22,55,0,41,18,0,0,75,478,0,86,41,0
2013,27/07/2013,0,0,2,15,50,0,0,28,0,0,0,23,41,26,0,17,77,3,88,40,88,1,41,21,3,0,142,282,0,134,32,0
2013,3/8/2013,1,0,0,13,35,0,0,17,0,0,0,41,44,27,0,24,39,0,41,55,74,0,17,35,14,0,388,286,0,45,41,0
2013,10/8/2013,1,0,7,19,36,0,1,43,0,0,0,33,45,53,1,26,120,4,91,22,30,0,51,16,5,1,59,203,0,198,33,0
2013,17/08/2013,0,0,1,18,27,0,0,46,0,0,0,60,97,34,0,47,91,10,71,56,129,0,35,20,26,5,174,155,0,158,56,0
2013,24/08/2013,0,0,6,16,93,0,4,119,0,0,0,15,98,62,0,24,130,19,57,112,65,0,69,41,19,0,50,181,0,112,61,0
2013,31/08/2013,0,0,12,35,37,0,1,85,0,0,0,68,85,64,0,11,124,13,57,68,20,0,91,30,5,2,183,149,0,142,70,0
2013,7/9/2013,0,0,23,28,67,0,0,84,0,0,0,40,31,89,1,39,91,21,65,82,1,2,95,38,23,0,213,107,0,143,65,0
2013,14/09/2013,0,0,15,27,82,0,6,83,0,0,34,61,37,97,1,11,116,29,169,49,18,0,86,49,23,0,229,132,0,554,69,0
2013,21/09/2013,0,0,57,22,36,0,5,80,0,0,2,22,19,73,0,31,48,7,232,76,21,0,78,31,4,0,203,38,0,322,49,0
2013,28/09/2013,0,0,67,0,55,0,21,41,0,0,0,28,29,75,0,30,139,71,214,18,15,0,65,58,47,3,145,113,0,262,47,0
2013,5/10/2013,0,0,45,0,60,0,3,55,0,0,7,114,5,83,1,25,19,62,257,36,9,0,16,77,72,12,133,129,0,447,96,0
2013,12/10/2013,0,0,236,22,70,0,41,93,0,0,4,178,40,138,0,58,46,29,257,67,20,1,71,66,107,26,88,179,0,162,77,0
2013,19/10/2013,0,0,281,61,55,0,104,100,0,0,0,75,30,115,0,50,175,49,199,46,10,3,47,47,69,13,163,98,0,116,107,1
2013,26/10/2013,0,0,176,0,60,0,94,71,0,0,3,80,46,171,0,9,43,33,214,80,7,0,38,72,71,11,71,89,0,180,78,0
2013,2/11/2013,0,0,146,23,79,0,120,59,0,0,0,90,12,187,0,28,32,24,273,26,51,1,33,39,77,86,62,83,0,264,51,0
2013,9/11/2013,0,0,375,21,38,0,135,106,0,0,1,70,14,146,0,11,68,21,419,62,32,4,24,52,30,3,54,81,0,239,98,0
2013,16/11/2013,0,0,188,2,54,0,99,89,0,0,0,49,22,84,0,53,2,28,225,83,13,0,74,27,44,8,26,64,0,224,79,0
2013,23/11/2013,0,0,255,47,44,0,115,48,0,0,0,35,6,107,0,16,4,47,304,37,14,0,44,15,11,2,9,34,0,78,51,0
2013,30/11/2013,0,0,236,30,19,0,89,55,0,0,0,44,3,105,0,21,1,23,319,76,8,1,51,15,90,157,26,26,0,146,64,1
2013,7/12/2013,0,0,461,10,19,0,20,66,0,0,0,25,1,145,0,0,8,8,219,26,14,0,28,12,0,10,12,27,0,132,96,0
2013,14/12/2013,0,0,270,18,28,0,2,57,0,0,0,42,1,68,0,27,2,0,107,45,0,0,22,7,71,5,17,8,0,84,64,0
2013,21/12/2013,0,0,166,9,13,0,0,27,0,0,13,24,0,60,0,115,1,0,22,20,8,0,19,8,0,0,1,4,0,0,42,0
2013,28/12/2013,0,0,217,0,9,0,0,7,0,0,0,6,0,10,0,0,0,5,15,0,0,0,8,6,14,3,0,2,0,7,39,0
2014,4/1/2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,11/1/2014,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,2,1,0,0,0,0,0,2,4,0,0,1,0,0,1,5,0
2014,18/01/2014,0,0,0,5,11,0,0,5,0,0,0,3,0,11,0,4,1,0,16,4,1,0,3,2,0,0,4,0,0,8,10,0
2014,25/01/2014,0,0,0,0,6,0,0,11,0,0,0,8,0,16,0,9,3,3,32,12,0,0,9,3,0,1,3,2,0,16,32,0
2014,1/2/2014,0,0,63,9,5,0,0,17,0,0,0,22,0,29,0,10,5,2,13,9,1,0,6,8,0,0,11,2,0,11,19,0
2014,8/2/2014,0,0,7,0,4,0,0,6,0,0,0,17,0,4,0,6,1,1,15,3,3,0,8,1,4,0,5,0,0,5,24,0
2014,15/02/2014,0,0,11,10,1,0,0,6,0,0,0,13,0,31,0,5,4,0,22,1,0,0,7,2,50,21,6,5,0,4,14,0
2014,22/02/2014,0,0,7,0,11,0,0,4,0,0,0,17,1,18,0,4,3,4,24,9,6,0,12,2,13,25,4,2,0,10,21,0
2014,1/3/2014,0,0,1,15,12,0,0,15,0,0,0,33,0,25,0,16,5,5,58,15,7,0,12,6,59,2,8,5,0,20,39,0
2014,8/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,15/03/2014,0,0,4,7,10,0,0,10,0,0,0,13,1,17,0,7,3,1,23,3,0,0,8,5,11,6,3,1,0,8,13,0
2014,22/03/2014,0,0,2,12,8,0,0,2,0,0,0,9,0,8,0,4,7,5,29,0,11,1,9,5,9,3,7,0,0,14,14,0
2014,29/03/2014,0,0,3,8,10,0,0,9,0,0,0,13,1,6,0,2,1,10,29,18,0,0,5,3,4,1,6,3,0,6,1,0
2014,5/4/2014,0,0,5,11,15,0,0,6,0,0,0,12,0,11,0,13,6,6,47,12,5,0,2,0,21,0,4,1,0,6,3,0
2014,12/4/2014,0,0,5,0,8,0,0,6,0,0,0,10,0,4,0,1,2,3,33,3,5,0,5,2,21,4,4,0,0,10,3,0
2014,19/04/2014,0,0,3,17,6,0,0,0,0,0,0,4,1,6,0,3,4,3,29,2,4,0,1,2,6,3,3,4,0,3,3,0
2014,26/04/2014,0,0,1,0,5,0,0,4,0,0,0,14,1,2,0,5,1,5,24,3,0,0,3,4,25,3,4,3,0,16,3,0
2014,3/5/2014,0,1,5,0,9,0,1,8,0,0,0,22,1,4,0,1,1,3,24,8,3,0,2,1,15,4,1,3,0,6,2,0
2014,10/5/2014,0,0,2,6,5,0,0,5,0,0,0,3,0,10,0,5,2,1,22,10,1,0,3,2,10,3,0,3,0,9,3,0
2014,17/05/2014,0,0,6,6,12,0,0,2,0,1,0,17,1,5,0,1,4,6,46,5,8,0,3,0,2,7,4,4,0,2,4,0
2014,24/05/2014,0,0,4,2,14,0,0,4,0,0,0,15,0,10,0,2,1,6,56,12,7,0,4,3,28,3,9,3,0,12,0,0
2014,31/05/2014,0,0,9,7,22,0,0,4,0,0,0,24,1,4,0,4,1,5,44,11,10,0,3,9,8,0,5,7,0,14,6,0
2014,7/6/2014,0,1,12,3,12,0,0,8,0,0,0,18,1,6,0,1,4,10,25,17,5,0,2,7,32,22,6,9,0,19,5,0
2014,14/06/2014,0,0,4,0,16,0,0,12,0,0,0,30,1,31,0,7,11,4,25,36,14,0,4,3,24,8,5,12,0,30,7,0
2014,21/06/2014,0,0,11,9,21,0,1,12,0,0,0,23,0,23,0,10,11,4,16,31,11,0,4,2,15,2,6,12,0,21,8,0
2014,28/06/2014,0,0,12,17,17,0,0,9,0,0,0,55,0,14,0,16,10,7,31,23,26,0,10,10,14,7,3,9,0,17,10,0
2014,5/7/2014,0,0,11,0,13,0,0,18,0,0,0,27,0,17,0,2,17,0,25,24,4,0,2,9,22,10,6,10,0,29,14,0
2014,12/7/2014,0,0,18,17,30,0,1,23,0,3,1,33,1,23,0,50,16,9,22,40,20,0,8,12,13,11,12,24,0,17,26,0
2014,19/07/2014,0,0,12,9,19,0,3,16,0,3,6,35,6,12,0,16,17,2,25,33,31,0,7,19,26,3,7,22,0,50,7,0
2014,26/07/2014,0,0,24,9,14,0,0,40,0,3,0,31,0,19,0,35,28,1,38,36,5,0,7,14,6,0,3,22,0,44,17,0
2014,2/8/2014,0,0,27,24,22,0,0,19,0,1,1,31,4,18,0,29,16,2,0,63,17,1,7,11,18,2,7,19,0,35,9,0
2014,9/8/2014,0,0,50,10,32,0,5,10,0,6,0,32,2,34,0,21,16,2,15,33,25,0,5,10,24,14,7,28,0,54,15,0
2014,16/08/2014,0,0,62,0,23,0,0,21,0,0,0,46,3,16,0,15,23,3,30,10,6,0,6,3,16,13,7,20,0,99,16,0
2014,23/08/2014,0,0,167,14,19,0,0,20,0,11,1,30,0,38,0,38,21,5,36,95,0,0,9,6,25,9,8,12,0,82,15,0
2014,30/08/2014,0,0,170,22,22,0,0,15,0,1,0,43,3,34,0,28,31,2,42,43,42,0,3,5,46,12,6,24,0,52,9,0
2014,6/9/2014,0,0,183,19,33,0,27,18,0,2,0,35,0,60,0,21,25,5,31,107,31,0,7,8,26,24,11,26,0,124,13,0
2014,13/09/2014,0,0,156,17,39,0,2,15,0,0,0,78,6,19,0,36,42,2,15,71,11,1,5,5,66,7,10,12,0,125,15,0
2014,20/09/2014,0,0,103,0,25,0,0,6,0,1,0,24,2,55,0,3,24,6,19,74,23,0,5,1,91,1,5,22,0,77,14,0
2014,27/09/2014,0,0,292,29,28,0,24,29,0,1,0,30,3,67,0,28,24,5,28,83,18,1,4,9,114,24,4,16,0,125,24,0
2014,4/10/2014,0,0,349,0,37,0,15,25,0,1,0,23,0,66,0,39,19,5,21,74,32,0,5,5,25,34,16,22,0,94,13,0
2014,11/10/2014,0,0,311,23,25,0,22,29,0,1,0,13,0,77,0,44,30,10,49,76,15,0,5,7,77,30,11,28,0,85,14,0
2014,18/10/2014,0,0,393,0,38,0,27,23,0,0,0,36,0,61,0,57,24,15,40,66,38,0,13,8,123,60,15,50,0,110,22,0
2014,25/10/2014,0,0,474,29,35,0,11,28,0,0,0,27,0,47,0,36,23,6,36,94,17,1,8,4,71,123,11,51,0,88,20,0
2014,1/11/2014,0,1,404,9,37,0,15,33,0,0,0,52,2,32,0,15,16,4,19,79,33,0,10,2,172,174,7,41,0,96,24,0
